序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,厄林,2023/4/14,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,525,-54.03%,"122,908","1,667",392946 
2,法國,聖母院大火：世紀浩劫,2023/4/14,車庫娛樂股份有限公司,RELAY MOTION KFT.,51,"1,675",-7.20%,"383,501","3,480",804942 
3,越南,涅槃咒,2023/4/14,仲業股份有限公司,"Skyline Media Co., Ltd",23,885,-40.40%,"218,524","2,370",592312 
4,馬來西亞,血忌,2023/4/14,水元素文化傳媒有限公司,"Reel Suspects, S.A.R.L.",13,345,-42.31%,"85,364",943,233594 
5,中華民國,疫起,2023/4/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"凱擘影藝股份有限公司,奇幻娛樂國際股份有限公司,有戲娛樂股份有限公司,良人行影業有限公司,大慕可可股份有限公司 ,六六喜喜股份有限公司,台灣大哥大股份有限公司 (台灣大哥大 MyVideo),聚星文創娛樂事業股份有限公司 ,宏將影業有限公司 ,華文創股份有限公司 ,得利影視股份有限公司",88,"24,672",3.87%,"5,973,571","49,029",11539401 
6,日本,假面騎士劇場版 Battle Royale,2023/4/14,木棉花國際股份有限公司,"Toei Company, Ltd.",15,"1,530",-43.87%,"376,062","4,256",1064893 
7,香港,燈火闌珊,2023/4/14,香港商甲上娛樂有限公司台灣分公司,燈火闌珊有限公司,27,916,-10.46%,"202,153","1,939",439852 
8,美國,穆荷蘭大道 4K數位修復版,2023/4/14,車庫娛樂股份有限公司,STUDIOCANAL S.A.S.,10,524,85.82%,"136,964",806,199539 
9,美國,吸血鬼特助：雷菲爾,2023/4/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"11,770",-13.17%,"2,900,448","25,325",6258127 
10,法國,正年輕,2023/4/14,傳影互動股份有限公司,CHARADES,12,207,-2.36%,"43,535",419,86374 
11,俄羅斯,柴可夫斯基的妻子,2023/4/14,天馬行空數位有限公司,CHARADES,11,618,37.64%,"125,125","1,067",218455 
12,南韓,熊男,2023/4/7,車庫娛樂股份有限公司,RELAY MOTION KFT.,13,289,-80.51%,"65,067","4,473",1011097 
13,日本,百花,2023/4/7,車庫娛樂股份有限公司,RELAY MOTION KFT.,17,342,-80.54%,"77,286","4,468",1007657 
14,法國,再一次勇敢跳躍,2023/4/7,中影股份有限公司,STUDIOCANAL,5,342,-53.66%,"73,160","1,569",341194 
15,美國,鬼玩人 4K數位修復版,2023/4/7,車庫娛樂股份有限公司,STUDIOCANAL S.A.S.,5,105,-69.12%,"24,913",736,175250 
16,美國,過去那五年,2023/4/6,威秀影城股份有限公司,Broadway on Demand,3,20,0.00%,"13,240",38,23870 
17,美國,AIR,2023/4/5,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,79,"5,480",-55.04%,"1,395,366","38,749",9699125 
18,美國,超級瑪利歐兄弟電影版,2023/4/5,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"201,142",-10.90%,"51,046,677","787,634",200687747 
19,日本,美麗的他電影版,2023/4/1,采昌國際多媒體股份有限公司,"Mainichi Broadcasting System, Inc.",27,"2,022",-42.96%,"509,780","9,024",2237562 
20,日本,鏡之孤城,2023/3/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,56,"10,405",-33.85%,"2,605,175","79,391",20038057 
21,南韓,靈魂伴侶,2023/3/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,13,542,-59.52%,"131,951","12,034",2961211 
22,香港,白日青春,2023/3/31,采昌國際多媒體股份有限公司,PETRA Films Pte Ltd,10,187,-28.63%,"42,660","2,052",456717 
23,愛爾蘭,夏日悄悄話,2023/3/31,好威映象有限公司,GEM Entertainment Kft.,6,262,-41.39%,"58,250","2,515",554298 
24,中華民國,做工的人電影版,2023/3/31,華映國際文創股份有限公司,"大慕影藝國際事業股份有限公司,中國信託創業投資股份有限公司,華映娛樂股份有限公司,大慕可可股份有限公司,樂到家國際股份有限公司,有戲娛樂股份有限公司,鏡文學股份有限公司,華研國際音樂股份有限公司,秀泰集團",94,"12,751",-48.88%,"2,999,696","151,197",35836620 
25,美國,65：恐怖行星,2023/3/31,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,70,677,-80.67%,"162,008","36,688",8803411 
26,日本,電影版殘念生物事典,2023/3/31,采昌國際多媒體股份有限公司,ADK Emotions Inc.,2,18,-70.00%,"4,030",981,218654 
27,俄羅斯,公主與野獸,2023/3/31,可樂藝術文創股份有限公司,Luminescence Kft.,2,103,-52.97%,"20,750","3,240",730092 
